eventID	parentEventID	year	month	day	eventDate	verbatimEventTime	eventTime	water temperature (°C)	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	geodeticDatum	samplingProtocol	minimumDepthInMeters	maximumDepthInMeters	language	eventRemarks
Proteker5_2016		2016			2016-11-19/2016-12-04				-49.35391	70.21864	150	EPSG:4326					
Proteker5_Intertidal_2016	Proteker5_2016	2016			2016-11-19/2016-12-04				-49.35391	70.21864	150	EPSG:4326	hand intertidal collection | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf			en	
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016	2016	11	19	2016-11-19	11:47	11:47-0500	4.9	-49.35391	70.21864	150	EPSG:4326	hand intertidal collection | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	0	1	en	
Proteker5_Intertidal_2016-12-4	Proteker5_Intertidal_2016	2016	12	4	2016-12-04	16:54	16:54-0500	6.8	-49.35391	70.21864	150	EPSG:4326	hand intertidal collection | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	0	1	en	
Proteker5_Scuba_2016	Proteker5_2016	2016			2016-11-20/2016-12-01				-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf			en	
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016	2016	11	20	2016-11-20	15:38	15:38-0500	5.3	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Scuba_2016-11-21	Proteker5_Scuba_2016	2016	11	21	2016-11-21	16:07	16:07-0500	5.3	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Scuba_2016-11-22	Proteker5_Scuba_2016	2016	11	22	2016-11-22	14:53	14:53-0500	5.7	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016	2016	11	23	2016-11-23	15:29	15:29-0500	4.8	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Scuba_2016-11-26	Proteker5_Scuba_2016	2016	11	26	2016-11-26	11:03	11:03-0500	6.6	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016	2016	11	30	2016-11-30	10:49	10:49-0500	6	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Scuba_2016-12-1	Proteker5_Scuba_2016	2016	12	1	2016-12-01	15:38	15:38-0500	6.7	-49.35391	70.21864	150	EPSG:4326	scuba diving | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	5	13	en	
Proteker5_Water_2016	Proteker5_2016	2016			2016-11-29/2016-12-03				-49.35391	70.21864	150	EPSG:4326	subsurface water sampling | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf			en	
Proteker5_Water_2016-11-29	Proteker5_Water_2016	2016	11	29	2016-11-29	16:03	16:03-0500	5.9	-49.35391	70.21864	150	EPSG:4326	subsurface water sampling | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	1	3	en	
Proteker5_Water_2016-12-3	Proteker5_Water_2016	2016	12	3	2016-12-03	17:13	17:13-0500	5.3	-49.35391	70.21864	150	EPSG:4326	subsurface water sampling | https://proteker.osupytheas.fr/wp-content/uploads/2021/04/PROTEKER2016-17_rapport_xs.pdf	1	3	en	
